Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3168,0.3441,1389,4401376,3462012,8163524,38,23,32,0,93
華園大飯店,269,3403,0.4081,1451,4939438,4522777,9783253,30,33,38,0,101
高雄國賓大飯店,453,11528,0.8209,2068,23845370,44144277,70138340,118,160,16,62,356
漢來大飯店,535,11190,0.6747,3065,34299883,81789249,133397485,191,462,95,116,864
高雄福華大飯店,271,6903,0.8217,2270,15667377,26933808,46004923,96,166,36,22,320
君鴻國際酒店,585,9682,0.5339,2526,24460377,33896625,70736283,159,183,128,22,492
寒軒國際大飯店,380,7761,0.6588,1980,15367840,21611955,38010931,104,122,31,25,282
麗尊大酒店,198,3935,0.6411,2195,8636135,21249217,31594009,65,91,12,24,192
義大皇家酒店,656,10649,0.5237,2838,30221862,28932153,62934921,71,180,105,73,429
晶英國際行館,147,799,0.1753,7018,5607746,10537922,19079534,58,77,49,0,184
福容大飯店 高雄,250,4550,0.5871,1967,8949190,8826472,17778060,37,36,9,5,87
