Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,1997,2459,4456,3501,227,333,71,44,17,13,115,37,86,9,3,0,"4,456"
華園大飯店,1309,2933,4242,1464,1381,689,240,114,0,0,261,66,27,0,0,0,"4,242"
高雄國賓大飯店,11451,7725,19176,9296,4190,2472,453,1143,27,256,264,197,458,31,389,0,"19,176"
漢來大飯店,12403,2011,14414,7036,1850,1561,0,0,0,0,320,1484,552,333,799,479,"14,414"
高雄福華大飯店,11718,2917,14635,6432,3082,2517,443,340,139,91,499,274,408,40,370,0,"14,635"
君鴻國際酒店,8269,5501,13770,7055,3048,1581,431,564,109,111,166,220,297,26,162,0,"13,770"
寒軒國際大飯店,7630,7069,14699,7463,4579,1555,123,264,80,104,204,101,204,10,12,0,"14,699"
麗尊大酒店,6524,1246,7770,4452,1099,900,208,636,161,30,75,41,128,17,23,0,"7,770"
晶英國際行館,1127,304,1431,1150,50,34,8,132,5,0,22,9,18,2,1,0,"1,431"
福容大飯店 高雄,5774,3495,9269,5620,1888,147,69,1105,6,8,300,19,19,10,78,0,"9,269"
