凱撒?飯店 Caesar Park Hotel Kenting,"14,085","5,795","19,880","15,125","3,228",128,381,219,79,4,8,275,263,38,132,0,"19,880",,
阿??賓館 Alishan House,907,389,"1,296",957,35,14,3,42,52,17,35,28,19,3,91,0,"1,296",,
龍??飯店 Dragon Valley Hotel,566,"2,172","2,738","2,718",0,16,0,0,0,0,4,0,0,0,0,0,"2,738",,
福容?飯店 福隆 Fulong Beach Resort Hotel,"2,030","1,200","3,230","3,172",23,0,0,0,0,3,0,6,6,0,20,0,"3,230",,
阿??賓館(新館) Alishan House,"4,426","1,897","6,323","4,673",173,66,17,206,252,81,172,135,94,17,437,0,"6,323",,
墾丁怡灣渡假酒店 Grand Bay Resort,"1,319","1,447","2,766",878,0,0,0,14,0,0,4,0,6,0,"1,864",0,"2,766",,
"名都觀光渡假?飯店
Beau Max Resort Hotel",183,"3,798","3,981","1,014","2,967",0,0,0,0,0,0,0,0,0,0,0,"3,981",,
總計Total,"581,428","340,183","921,611","325,369","124,315","188,754","50,218","32,348","18,005","8,687","43,519","64,921","37,053","6,265","20,574","1,583","921,611",,
觀光旅館營運?報表單?-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,,
列印?期,2019/05/07,其他地區,,資料期間:,,2019年3??2019年3?(Data for 2019/3~2019/3),,,,,,,,,,,,,
,住客類別統計No. of Guests by Type,,,各地區旅客?數統計No. of Guests by Country / Region,,,,,,,,,,,,,,,
