Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,1918,1668,3586,2352,111,637,125,21,34,8,148,64,82,3,1,0,"3,586"
華園大飯店,1169,4399,5568,2534,1079,725,43,214,99,37,640,155,21,16,5,0,"5,568"
高雄國賓大飯店,8100,8233,16333,8418,2576,2668,350,1230,62,22,197,234,336,25,215,0,"16,333"
漢來大飯店,10551,2272,12823,5847,1892,1367,0,152,0,0,311,1330,678,0,779,467,"12,823"
高雄福華大飯店,8934,2668,11602,5256,1681,2602,389,169,133,115,155,213,415,39,435,0,"11,602"
君鴻國際酒店,6450,8826,15276,10047,2863,832,319,309,157,91,213,146,206,75,18,0,"15,276"
寒軒國際大飯店,4931,9268,14199,7408,3342,1923,113,226,67,73,844,82,109,4,8,0,"14,199"
麗尊大酒店,4832,871,5703,3601,659,561,0,285,109,68,102,44,90,10,174,0,"5,703"
晶英國際行館,953,176,1129,794,125,28,0,110,3,11,6,27,9,16,0,0,"1,129"
福容大飯店 高雄,3026,5843,8869,6406,1299,155,48,58,43,12,660,5,19,9,155,0,"8,869"
