Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,4201,1968,6169,3975,157,650,152,44,50,43,216,78,793,5,6,0,"6,169"
華園大飯店,2340,5000,7340,4129,888,452,174,104,238,201,921,159,62,12,0,0,"7,340"
高雄國賓大飯店,9430,7315,16745,7640,3459,2604,616,826,171,172,354,258,301,70,274,0,"16,745"
漢來大飯店,13354,3186,16540,7276,2757,1492,0,0,0,0,314,1673,1451,319,786,472,"16,540"
高雄福華大飯店,9076,3258,12334,5500,1881,2388,301,223,112,218,539,303,481,70,318,0,"12,334"
君鴻國際酒店,10462,10033,20495,12524,3317,1181,599,565,207,116,525,454,551,145,311,0,"20,495"
寒軒國際大飯店,6812,6692,13504,8279,2060,2014,166,151,90,31,243,153,245,51,21,0,"13,504"
麗尊大酒店,5015,1482,6497,3323,1151,737,0,322,78,88,149,38,205,85,321,0,"6,497"
晶英國際行館,756,25,781,576,23,25,42,52,6,0,16,4,21,16,0,0,781
福容大飯店 高雄,3944,5610,9554,6192,1659,262,169,138,69,79,783,22,167,6,8,0,"9,554"
