Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,2086,1734,3820,2390,53,612,113,31,54,41,166,72,284,4,0,0,"3,820"
華園大飯店,874,4142,5016,3116,588,546,125,152,71,59,99,187,69,4,0,0,"5,016"
高雄國賓大飯店,6805,8335,15140,5936,3367,3194,454,860,113,204,206,206,341,33,226,0,"15,140"
漢來大飯店,9429,2793,12222,5055,1749,1718,0,0,0,0,287,1524,530,211,717,431,"12,222"
高雄福華大飯店,7132,3287,10419,4004,1596,2955,282,195,131,61,247,226,429,64,229,0,"10,419"
君鴻國際酒店,7109,10423,17532,11783,2628,1255,427,233,214,93,217,259,219,100,104,0,"17,532"
寒軒國際大飯店,5009,9414,14423,9662,2137,1727,154,120,79,64,176,106,169,13,16,0,"14,423"
麗尊大酒店,4062,1504,5566,2581,1216,930,0,218,98,44,85,24,157,12,201,0,"5,566"
晶英國際行館,610,121,731,505,60,8,20,43,4,4,7,5,36,18,21,0,731
福容大飯店 高雄,2642,7220,9862,7887,921,99,83,64,1,6,617,20,12,13,139,0,"9,862"
