Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2254,0.2448,1501,3382423,3201392,6772844,38,28,40,2,108
華園大飯店,269,1754,0.2103,2026,3552996,3857807,7727150,40,38,36,0,114
高雄國賓大飯店,543,10119,0.6011,1919,19417518,40193230,61490884,123,160,20,59,362
漢來大飯店,436,8397,0.6213,3655,30688745,69367883,118081301,197,479,7,209,892
高雄福華大飯店,271,5997,0.7138,2159,12945000,23511000,39931000,93,140,34,23,290
君鴻國際酒店,585,10046,0.554,2198,22082750,28843202,63306461,147,191,136,28,502
寒軒國際大飯店,380,6424,0.5453,1955,12558755,21806960,35435110,105,122,34,25,286
麗尊大酒店,198,4218,0.6872,2130,8984412,19674340,30625586,72,100,12,26,210
晶英國際行館,145,293,0.0652,7664,2245505,12067575,16303656,62,76,52,0,190
福容大飯店 高雄,250,2851,0.3679,1756,5005054,3165805,8218947,37,39,8,4,88
