Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,4425,1551,5976,4344,262,647,95,65,33,18,320,31,147,13,1,0,"5,976"
華園大飯店,1108,3885,4993,1214,1987,706,450,61,9,88,151,70,20,0,237,0,"4,993"
高雄國賓大飯店,9103,8433,17536,7476,5030,2940,700,664,50,30,224,118,153,28,123,0,"17,536"
漢來大飯店,12520,2528,15048,7358,2083,1907,0,0,0,0,375,988,657,179,938,563,"15,048"
高雄福華大飯店,9900,3320,13220,5316,2632,3522,464,93,114,41,271,157,448,20,142,0,"13,220"
君鴻國際酒店,7319,10404,17723,6680,5936,889,2934,433,49,32,153,163,291,31,132,0,"17,723"
寒軒國際大飯店,7334,5023,12357,5945,4319,1271,265,102,28,19,105,109,178,14,2,0,"12,357"
麗尊大酒店,6693,1790,8483,4670,1906,731,330,176,80,93,136,30,195,16,120,0,"8,483"
晶英國際行館,688,0,688,594,19,22,9,32,5,0,1,6,0,0,0,0,688
福容大飯店 高雄,4605,2572,7177,4503,1952,127,264,48,13,12,147,36,75,0,0,0,"7,177"
