Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3168,0.381,1890,5987831,3316898,9456607,39,26,38,2,105
華園大飯店,269,2488,0.3303,1910,4752646,4335236,9444957,42,38,37,0,117
高雄國賓大飯店,453,10163,0.8012,2256,22927617,51345884,77267329,128,169,20,59,376
漢來大飯店,436,8246,0.6755,4202,34649710,76915513,146304306,198,487,8,221,914
高雄福華大飯店,271,5916,0.7797,2694,15938000,26896000,46294000,92,137,34,23,286
君鴻國際酒店,585,9164,0.5595,2772,25401092,31727249,70245695,153,194,130,30,507
寒軒國際大飯店,380,7002,0.6581,2335,16348686,22175224,39706603,108,123,34,25,290
麗尊大酒店,198,4025,0.726,2450,9861113,20975001,32705011,70,101,12,26,209
晶英國際行館,147,296,0.0719,9521,2818171,10670882,15251606,63,77,52,0,192
福容大飯店 高雄,250,3530,0.5043,2557,9026236,3892174,13010082,40,37,8,4,89
