Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2472,0.2685,1307,3231960,1700692,4985909,41,28,33,2,104
華園大飯店,269,2107,0.2527,1412,2975405,2017996,5568029,34,33,31,0,98
高雄國賓大飯店,453,11048,0.7867,1943,21465327,32730622,56034846,116,160,18,60,354
漢來大飯店,540,8760,0.5233,3256,28523683,57053218,100536540,185,460,8,208,861
高雄福華大飯店,271,6831,0.8131,2291,15647154,14609298,33910169,94,150,36,22,302
君鴻國際酒店,585,7772,0.4286,2357,18315056,19078666,48778543,156,192,133,22,503
寒軒國際大飯店,380,7240,0.6146,1917,13878899,13247058,28239608,103,124,35,25,287
麗尊大酒店,198,3941,0.6421,2160,8511687,12705122,22829187,66,95,12,24,197
晶英國際行館,147,729,0.16,7241,5278875,11768861,19236766,59,78,50,0,187
福容大飯店 高雄,250,4617,0.5957,1830,8450291,3100454,11570079,38,36,9,5,88
