Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,2805,2775,5580,3988,101,697,139,29,31,45,181,59,282,27,1,0,"5,580"
華園大飯店,960,7619,8579,3932,504,2067,849,22,148,226,659,129,37,6,0,0,"8,579"
高雄國賓大飯店,9176,8521,17697,6449,2611,5035,533,791,381,249,295,608,423,27,295,0,"17,697"
漢來大飯店,12749,3546,16295,5267,2086,2736,0,0,0,0,516,2037,1174,414,"1,291",774,"16,295"
高雄福華大飯店,8482,4127,12609,3702,1122,3682,400,173,124,1521,205,409,554,58,659,0,"12,609"
君鴻國際酒店,8526,8992,17518,9970,2557,2234,751,406,250,52,232,297,521,90,158,0,"17,518"
寒軒國際大飯店,5988,6432,12420,6996,1698,2564,250,157,83,72,160,174,244,11,11,0,"12,420"
麗尊大酒店,5713,1242,6955,3039,1256,1317,0,239,66,135,196,15,147,28,517,0,"6,955"
晶英國際行館,477,365,842,711,16,18,0,42,4,4,0,34,7,6,0,0,842
福容大飯店 高雄,3287,5367,8654,5760,1241,455,89,196,106,202,425,39,129,2,10,0,"8,654"
