Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,5003,0.5434,1583,7918770,3540318,11626920,45,21,35,0,101
華園大飯店,269,5006,0.6003,1677,8395203,6338327,15103704,32,35,36,0,103
高雄國賓大飯店,453,12784,0.9103,2211,28268432,48871325,79587232,111,150,16,62,339
漢來大飯店,535,14668,0.8844,3229,47362816,86291009,149808241,189,448,8,206,851
高雄福華大飯店,271,8007,0.9531,2326,18626353,27468035,50140540,93,163,35,22,313
君鴻國際酒店,585,12381,0.6827,2631,32580115,34328671,80257430,154,186,129,22,491
寒軒國際大飯店,380,9888,0.8394,2046,20234324,24130591,45383700,102,121,32,26,281
麗尊大酒店,198,4608,0.7507,2190,10091075,21898446,34303684,65,91,12,24,192
義大皇家酒店,656,11182,0.5499,3579,40020378,30788603,74542905,72,181,105,75,433
晶英國際行館,147,1150,0.2524,7428,8542043,13012805,23482876,58,77,49,0,184
福容大飯店 高雄,250,6356,0.8201,1848,11748283,6774678,18535394,38,36,9,5,88
