Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2472,0.2774,1375,3398918,1872861,5315979,37,23,33,1,94
華園大飯店,269,2305,0.2856,1541,3551943,2664537,8285356,33,35,29,0,97
高雄國賓大飯店,453,9404,0.692,1985,18671033,41324701,61736112,116,159,19,58,352
漢來大飯店,540,10333,0.6378,3134,32384459,51677940,131534512,183,451,7,204,845
高雄福華大飯店,271,5489,0.6752,2285,12541309,17706710,33655354,88,153,36,23,300
君鴻國際酒店,585,8947,0.5098,2526,22598724,21891534,59695056,157,187,129,22,495
寒軒國際大飯店,380,6643,0.5827,1884,12517821,20473571,33886943,107,122,33,23,285
麗尊大酒店,198,3299,0.5554,2165,7142500,16162952,24869625,66,95,12,24,197
晶英國際行館,147,627,0.1422,6697,4199258,10234655,17112038,58,77,50,0,185
福容大飯店 高雄,250,4039,0.5385,1751,7072276,3531398,10657560,40,32,8,4,84
