Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,2291,3400,5691,4233,51,565,70,65,22,27,348,33,265,12,0,0,5691
華園大飯店,1947,3743,5690,2798,543,1091,78,311,274,80,62,195,245,13,0,0,5690
高雄國賓大飯店,10367,8042,18409,6624,3760,4559,416,758,131,126,831,434,327,88,355,0,18409
漢來大飯店,14992,3585,18577,7479,2107,3153,0,0,0,0,528,1451,1317,428,1321,793,18577
高雄福華大飯店,9901,3835,13736,4949,1357,4470,390,559,98,170,312,374,648,59,350,0,13736
君鴻國際酒店,14732,3502,18234,6197,1907,1434,1313,439,260,206,864,646,977,102,3889,0,18234
寒軒國際大飯店,10910,7661,18571,12442,2820,1706,378,235,61,32,316,316,211,24,30,0,18571
麗尊大酒店,5399,1235,6634,3709,627,1020,199,302,118,190,76,44,155,27,167,0,6634
義大皇家酒店,10367,13853,24220,23006,177,83,114,257,204,30,97,75,171,2,4,0,24220
晶英國際行館,1179,709,1888,1466,76,64,18,65,32,9,36,45,57,19,1,0,1888
福容大飯店 高雄,5742,6132,11874,8537,1423,653,138,128,26,98,597,53,16,29,176,0,11874
