Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3434,0.3854,1292,4436643,2283391,6820367,44,23,30,0,97
華園大飯店,269,2661,0.3297,1537,4090658,3146200,7505655,32,36,36,0,104
高雄國賓大飯店,453,12244,0.901,1993,24405330,34657767,61367971,114,158,16,62,350
漢來大飯店,540,12721,0.7852,3062,38945351,49535238,104814561,180,447,8,206,841
高雄福華大飯店,271,7497,0.9221,2095,15706856,19658539,39151340,91,161,36,22,310
君鴻國際酒店,585,10861,0.6189,2762,29993778,25800097,68005890,157,195,131,25,508
寒軒國際大飯店,380,8109,0.7113,1909,15480483,15706235,32342218,103,122,33,26,284
麗尊大酒店,198,3781,0.6365,2170,8204358,15136510,25092919,65,92,12,24,193
義大皇家酒店,656,9688,0.4923,2927,28356776,19665752,51658564,74,182,105,78,439
晶英國際行館,147,1008,0.2286,7715,7776402,11052959,21031628,57,78,50,0,185
福容大飯店 高雄,250,5607,0.7476,1634,9164310,5060784,14254259,38,36,9,5,88
