Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3765,0.4226,1604,6037762,2344213,8414327,40,26,33,2,101
華園大飯店,269,3535,0.438,1775,6275641,1811395,8622213,44,37,34,0,115
高雄國賓大飯店,453,10755,0.7914,2062,22172629,32654349,56820122,123,165,19,58,365
漢來大飯店,436,9295,0.7106,4093,38043608,56259407,110297079,205,483,8,206,902
高雄福華大飯店,271,6083,0.7482,2409,14654000,16316000,34191000,91,138,34,23,286
君鴻國際酒店,585,11628,0.6626,2446,28440705,24419370,65684364,145,186,129,22,482
寒軒國際大飯店,380,8410,0.7377,1920,16144369,15539912,32925456,107,123,27,33,290
麗尊大酒店,198,3605,0.6069,2120,7642570,13882188,22940652,70,102,12,26,210
晶英國際行館,147,393,0.0891,8499,3340254,9539594,14734236,59,76,52,0,187
福容大飯店 高雄,250,4891,0.6521,1842,9009354,3882476,12924070,40,34,8,4,86
