Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3373,0.3664,1417,4779307,3012938,7843315,39,23,36,2,100
華園大飯店,269,4057,0.4865,1916,7774409,3716632,11932123,43,37,35,0,115
高雄國賓大飯店,453,11913,0.8483,2031,24190606,35271185,61681602,123,165,19,57,364
漢來大飯店,436,9956,0.7366,3802,37848140,67430705,118318206,205,487,8,211,911
高雄福華大飯店,271,7022,0.8359,2121,14897000,17461000,35918000,96,138,34,23,291
君鴻國際酒店,585,10426,0.5749,2341,24402864,26337489,65707055,147,189,131,25,492
寒軒國際大飯店,380,8081,0.686,1887,15247543,18564254,35086967,108,121,33,26,288
麗尊大酒店,198,4153,0.6766,2125,8825063,17799560,28511201,70,100,12,26,208
晶英國際行館,147,449,0.0985,9622,4320453,12214383,19036706,62,75,52,0,189
福容大飯店 高雄,250,4474,0.5773,1582,7079829,3385117,10497721,40,37,8,4,89
