Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
漢來大飯店,14180,3656,17836,8220,2410,1692,0,0,0,0,689,1149,651,267,1724,1034,17836
高雄國賓大飯店,11429,8538,19967,10437,3925,3105,821,833,68,25,80,212,259,64,138,0,19967
寒軒國際大飯店,7165,6510,13675,8018,3143,1294,356,164,79,73,143,129,219,32,25,0,13675
高雄福華大飯店,11554,2390,13944,6810,1493,3239,311,88,172,119,380,269,651,49,363,0,13944
君鴻國際酒店,9977,6020,15997,6324,3476,1476,2996,290,118,58,342,276,356,107,178,0,15997
華王大飯店,2475,3141,5616,4710,94,485,36,26,24,29,130,6,71,3,2,0,5616
麗尊大酒店,6455,1603,8058,4628,1273,716,678,152,136,87,152,39,133,26,38,0,8058
義大皇家酒店,13140,13483,26623,22951,236,78,3061,74,21,63,14,72,25,12,16,0,26623
華園大飯店,3792,3449,7241,3585,1926,764,409,141,63,56,87,145,61,4,0,0,7241
福容大飯店 高雄,5644,3723,9367,6710,1740,412,170,48,16,4,116,46,12,18,75,0,9367
晶英國際行館,1527,111,1638,1107,110,70,30,74,48,14,4,101,73,7,0,0,1638
