Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,2336,1357,3693,2205,98,720,189,53,19,10,131,95,160,12,1,0,"3,693"
華園大飯店,729,2527,3256,1293,687,933,18,144,20,10,29,80,34,8,0,0,"3,256"
高雄國賓大飯店,6367,9641,16008,5368,3902,3991,886,767,58,327,143,166,248,29,123,0,"16,008"
漢來大飯店,11393,1809,13202,4392,1576,2238,0,0,0,0,447,1501,971,287,"1,119",671,"13,202"
高雄福華大飯店,7989,2922,10911,3543,1213,2987,785,125,254,84,408,156,821,44,491,0,"10,911"
君鴻國際酒店,7365,10181,17546,5006,3641,1291,5830,269,97,80,173,246,330,41,542,0,"17,546"
寒軒國際大飯店,5730,3927,9657,4185,2302,1472,728,135,71,55,326,176,197,4,6,0,"9,657"
麗尊大酒店,5776,1825,7601,3153,1576,1095,806,188,132,62,271,22,155,48,93,0,"7,601"
晶英國際行館,460,0,460,372,3,39,0,11,3,2,0,4,18,1,7,0,460
福容大飯店 高雄,2130,3782,5912,3284,928,279,1158,48,19,2,60,22,103,7,2,0,"5,912"
