Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,4384,5004,9388,8072,213,426,63,152,47,38,201,61,102,13,0,0,9388
華園大飯店,4995,5713,10708,5659,1418,1232,387,355,686,142,427,194,183,14,11,0,10708
高雄國賓大飯店,14155,6844,20999,12097,3314,2716,503,1026,179,100,308,246,292,41,177,0,20999
漢來大飯店,21298,4206,25504,14837,2780,2099,0,0,0,0,721,1161,712,308,1804,1082,25504
高雄福華大飯店,12710,2737,15447,6690,1362,4236,451,295,209,77,544,272,606,32,673,0,15447
君鴻國際酒店,13380,8364,21744,10608,3911,2240,2165,793,466,161,392,309,417,116,166,0,21744
寒軒國際大飯店,8927,8803,17730,12711,2202,1549,355,297,110,91,171,124,88,28,4,0,17730
麗尊大酒店,8167,1224,9391,5224,976,857,587,579,308,198,110,58,160,71,263,0,9391
義大皇家酒店,18990,8965,27955,25974,423,66,245,698,109,80,166,65,6,73,50,0,27955
晶英國際行館,2056,298,2354,1742,87,70,34,168,25,5,70,102,29,16,6,0,2354
福容大飯店 高雄,7411,6419,13830,10047,2020,545,20,235,9,255,484,11,38,6,160,0,13830
