Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3448,0.3745,1339,4615586,2396388,7090069,40,19,36,0,95
華園大飯店,269,5820,0.7727,1899,11051982,5265253,17717592,32,32,38,0,102
高雄國賓大飯店,453,12380,0.8816,1992,24661941,38265969,65069568,110,157,15,61,343
漢來大飯店,535,12815,0.7727,3057,39172974,72846036,129256323,185,438,8,211,842
高雄福華大飯店,271,7158,0.852,2086,14931381,18517668,36848623,93,159,34,22,308
君鴻國際酒店,585,11883,0.6553,2308,27423363,23563944,61486181,155,175,127,22,479
寒軒國際大飯店,380,8593,0.7295,1884,16191670,15012521,32148880,105,118,34,23,280
麗尊大酒店,198,3763,0.6131,2160,8127203,17645191,27407622,65,90,13,22,190
義大皇家酒店,656,8802,0.4328,2803,24672006,25605247,52989188,88,193,106,75,462
晶英國際行館,147,1658,0.3638,7292,12089555,11914034,27925718,63,80,50,0,193
福容大飯店 高雄,250,5335,0.6884,1703,9082951,4661458,13796588,36,35,9,4,84
