Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,3621,2667,6288,5287,201,262,56,68,23,9,219,25,123,15,0,0,6288
華園大飯店,6951,5846,12797,6928,3072,1015,1152,96,10,192,159,132,41,0,0,0,12797
高雄國賓大飯店,11458,8030,19488,10101,4343,3015,403,750,44,84,83,326,127,25,187,0,19488
漢來大飯店,14732,4503,19235,10768,2566,1735,0,0,0,0,2652,491,450,124,449,0,19235
高雄福華大飯店,11186,2997,14183,6157,2597,3483,305,203,94,35,394,247,302,148,218,0,14183
君鴻國際酒店,11206,9267,20473,8966,5782,907,2927,382,81,104,650,141,434,67,32,0,20473
寒軒國際大飯店,8016,7359,15375,8006,4434,1705,468,241,84,47,122,115,142,4,7,0,15375
麗尊大酒店,6250,1950,8200,5030,1614,415,433,294,86,29,83,28,113,21,54,0,8200
義大皇家酒店,12904,12534,25438,21251,506,58,2782,247,26,24,433,66,20,5,20,0,25438
晶英國際行館,2692,269,2961,2371,80,48,8,136,50,18,18,132,77,14,9,0,2961
福容大飯店 高雄,6035,3029,9064,6582,1511,266,132,58,5,302,102,25,9,0,72,0,9064
