Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2560,0.278,1434,3669771,1909937,5738111,43,32,38,2,115
華園大飯店,269,2999,0.3596,1414,4240947,2142894,7704139,42,37,32,0,111
高雄國賓大飯店,453,10729,0.764,1962,21054465,33836212,56622887,119,159,22,58,358
漢來大飯店,540,9602,0.5736,3253,31236538,56509555,102312966,188,485,8,205,886
高雄福華大飯店,271,6304,0.7504,2304,14526933,13966344,31518236,91,153,35,22,301
君鴻國際酒店,585,7520,0.4147,2329,17511791,19809895,48426874,158,195,130,22,505
寒軒國際大飯店,380,6927,0.588,1943,13455961,12729755,27376034,103,128,36,25,292
麗尊大酒店,198,3959,0.645,2155,8531667,13308921,23587636,71,102,12,26,211
晶英國際行館,147,587,0.1288,6202,3640601,12356720,21645009,62,79,51,0,192
福容大飯店 高雄,250,4439,0.5728,1885,8367717,2852776,11237043,40,34,8,4,86
