Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,2261,1996,4257,3202,102,488,53,44,37,12,135,19,160,0,5,0,4257
華園大飯店,1345,4874,6219,2278,1798,577,132,350,12,230,663,115,60,4,0,0,6219
高雄國賓大飯店,10622,7959,18581,9857,3631,2504,259,1272,97,73,216,217,303,32,120,0,18581
漢來大飯店,12446,2399,14845,7228,1941,1399,0,0,0,0,379,1483,620,278,948,569,14845
高雄福華大飯店,11189,2460,13649,6928,2159,2668,259,191,97,98,388,135,419,66,241,0,13649
君鴻國際酒店,7442,5451,12893,6438,3609,968,402,334,70,81,335,208,249,77,122,0,12893
寒軒國際大飯店,7298,6573,13871,8255,3022,1755,165,183,65,48,126,98,142,8,4,0,13871
麗尊大酒店,6097,1575,7672,4608,1430,665,0,449,46,22,174,26,71,5,176,0,7672
晶英國際行館,1103,51,1154,961,41,26,2,57,6,2,10,16,29,2,2,0,1154
福容大飯店 高雄,5886,3004,8890,6598,1464,61,157,137,15,3,324,24,6,23,78,0,8890
