Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2468,0.2681,1397,3447471,1846073,5440664,42,25,35,0,102
華園大飯店,269,2688,0.3223,1489,4001779,3935690,10850610,31,35,36,0,102
高雄國賓大飯店,453,10930,0.7783,1879,20541258,38019658,60321240,115,160,19,59,353
漢來大飯店,540,9881,0.5903,3130,30928109,48828211,94671029,175,443,7,209,834
高雄福華大飯店,271,6592,0.7847,2195,14470644,19690529,37797827,89,154,36,22,301
君鴻國際酒店,585,8854,0.4882,2328,20614619,25150639,57146695,157,194,129,23,503
寒軒國際大飯店,380,7438,0.6314,1835,13648474,20605517,35355763,103,121,33,26,283
麗尊大酒店,198,3409,0.5554,2150,7329447,19041293,28423540,66,93,12,24,195
義大皇家酒店,656,9788,0.4813,2943,28806084,17462120,49032989,83,179,109,77,448
晶英國際行館,147,578,0.1268,6687,3865068,10318661,15634797,57,78,50,0,185
福容大飯店 高雄,250,4440,0.5729,1719,7633609,3936533,11583272,38,36,9,5,88
