Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,1526,3188,4714,3773,80,386,67,27,33,8,184,31,121,0,4,0,4714
華園大飯店,901,4356,5257,3402,400,637,105,122,30,18,479,50,8,6,0,0,5257
高雄國賓大飯店,7644,7563,15207,8043,2354,2236,383,979,141,54,218,157,349,39,254,0,15207
漢來大飯店,11794,2974,14768,6199,1967,1587,0,0,0,0,448,1605,820,348,1121,673,14768
高雄福華大飯店,7615,2975,10590,4539,1680,2562,354,190,91,34,251,93,287,118,391,0,10590
君鴻國際酒店,9145,5905,15050,8318,3468,917,605,414,92,78,363,270,254,126,145,0,15050
寒軒國際大飯店,4893,7744,12637,7647,2934,1067,97,196,79,49,351,74,100,7,36,0,12637
麗尊大酒店,4631,1228,5859,3205,849,608,204,304,113,136,179,39,139,42,41,0,5859
晶英國際行館,1091,107,1198,673,67,31,51,89,6,48,91,75,42,12,13,0,1198
福容大飯店 高雄,2925,5991,8916,6280,1511,89,247,84,104,21,469,13,46,15,37,0,8916
