Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2139,0.2401,1500,3209250,2256762,5462096,37,28,40,2,107
華園大飯店,269,2714,0.3363,1443,3916853,3921174,10149056,40,37,32,0,109
高雄國賓大飯店,453,9947,0.7319,1971,19607283,31593140,52931767,112,148,20,57,337
漢來大飯店,540,8509,0.5252,3238,27551404,58527989,101741652,185,475,8,215,883
高雄福華大飯店,271,6238,0.7673,2253,14053000,17287000,34953000,88,137,35,23,283
君鴻國際酒店,585,8768,0.4996,2230,19552120,24915229,57659655,141,176,129,20,466
寒軒國際大飯店,380,7268,0.6375,1896,13777859,13448291,28307879,104,123,35,23,285
麗尊大酒店,198,3539,0.5958,2135,7555876,19071424,28599774,69,101,12,25,207
晶英國際行館,147,590,0.1338,6267,3697823,9556607,14945418,62,75,51,0,188
福容大飯店 高雄,250,4202,0.5603,1734,7287129,4089274,11398650,40,34,8,4,86
