,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2016/10/6,,資料期間：,,2016年8月至2016年8月(Data for 2016/8～2016/8),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"188,463",68.38%,"4,493","846,693,892","888,478,293","1,991,889,866","3,118","5,545","1,833",814,"11,310",,,,,,
臺北地區 Taipei,一般Standard,"55,411",75.04%,"3,418","189,392,934","143,040,472","376,657,366",774,953,381,294,"2,402",,,,,,
臺北地區 Taipei,小計SubTotal,"243,874",69.79%,"4,248","1,036,086,826","1,031,518,765","2,368,547,232","3,892","6,498","2,214","1,108","13,712",,,,,,
高雄地區 Kaohsiung,國際Internation,"56,874",63.50%,"2,496","141,963,792","161,697,580","343,060,650",864,"1,291",302,356,"2,813",,,,,,
高雄地區 Kaohsiung,一般Standard,"3,312",42.74%,"2,296","7,605,704","3,289,791","10,991,445",41,40,4,16,101,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"60,186",61.85%,"2,485","149,569,496","164,987,371","354,052,095",905,"1,331",306,372,"2,914",,,,,,
臺中地區 Taichung,國際Internation,"24,297",68.93%,"2,429","59,021,512","69,943,897","158,404,241",402,586,202,136,"1,326",,,,,,
臺中地區 Taichung,一般Standard,"7,848",72.54%,"2,363","18,541,736","29,720,037","53,483,297",113,201,39,42,395,,,,,,
臺中地區 Taichung,小計SubTotal,"32,145",69.78%,"2,413","77,563,248","99,663,934","211,887,538",515,787,241,178,"1,721",,,,,,
花蓮地區 Hualien,國際Internation,"27,753",65.92%,"2,888","80,151,243","47,101,238","139,593,684",288,344,114,175,921,,,,,,
花蓮地區 Hualien,小計SubTotal,"27,753",65.92%,"2,888","80,151,243","47,101,238","139,593,684",288,344,114,175,921,,,,,,
風景區 Scenic Area,國際Internation,"41,394",62.48%,"6,740","279,008,872","119,464,497","440,247,005",730,834,284,620,"2,468",,,,,,
風景區 Scenic Area,一般Standard,"8,337",44.90%,"4,778","39,836,257","19,346,268","63,319,084",136,122,51,40,349,,,,,,
風景區 Scenic Area,小計SubTotal,"49,731",58.63%,"6,411","318,845,129","138,810,765","503,566,089",866,956,335,660,"2,817",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"44,166",72.95%,"2,917","128,831,187","104,819,299","265,548,607",497,838,239,192,"1,766",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"21,063",48.67%,"2,550","53,713,423","40,484,193","100,776,333",258,386,81,108,833,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"65,229",62.83%,"2,799","182,544,610","145,303,492","366,324,940",755,"1,224",320,300,"2,599",,,,,,
其他地區 Other,國際Internation,"60,659",60.69%,"4,331","262,717,066","205,452,491","531,166,584",941,"1,454",585,408,"3,388",,,,,,
