,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2017/8/15,,資料期間：,,2016年3月至2016年3月(Data for 2016/3～2016/3),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"212,985",77.26%,"5,015","1,068,165,885","1,046,737,736","2,407,989,993","3,066","5,286","1,856",792,"11,000",,,,,,
臺北地區 Taipei,一般Standard,"58,966",83.79%,"3,881","228,866,758","203,808,719","491,179,502",745,976,375,271,"2,367",,,,,,
臺北地區 Taipei,小計SubTotal,"271,951",78.59%,"4,769","1,297,032,643","1,250,546,455","2,899,169,495","3,811","6,262","2,231","1,063","13,367",,,,,,
高雄地區 Kaohsiung,國際Internation,"64,291",71.79%,"2,421","155,620,720","205,030,354","398,105,436",854,"1,280",318,349,"2,801",,,,,,
高雄地區 Kaohsiung,一般Standard,"4,169",53.79%,"1,736","7,237,094","3,795,713","11,115,991",43,40,8,4,95,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"68,460",70.35%,"2,379","162,857,814","208,826,067","409,221,427",897,"1,320",326,353,"2,896",,,,,,
臺中地區 Taichung,國際Internation,"22,007",62.44%,"2,457","54,076,898","70,517,985","151,790,036",387,598,204,133,"1,322",,,,,,
臺中地區 Taichung,一般Standard,"8,582",79.32%,"2,294","19,685,517","27,180,434","51,934,330",89,191,39,37,356,,,,,,
臺中地區 Taichung,小計SubTotal,"30,589",66.40%,"2,411","73,762,415","97,698,419","203,724,366",476,789,243,170,"1,678",,,,,,
花蓮地區 Hualien,國際Internation,"22,215",52.77%,"1,912","42,470,111","37,259,940","84,506,265",286,375,106,160,927,,,,,,
花蓮地區 Hualien,小計SubTotal,"22,215",52.77%,"1,912","42,470,111","37,259,940","84,506,265",286,375,106,160,927,,,,,,
風景區 Scenic Area,國際Internation,"39,887",66.36%,"4,639","185,030,288","100,925,982","311,362,408",657,747,335,496,"2,235",,,,,,
風景區 Scenic Area,一般Standard,"6,847",39.16%,"4,402","30,137,949","16,709,867","48,925,735",118,120,61,59,358,,,,,,
風景區 Scenic Area,小計SubTotal,"46,734",60.23%,"4,604","215,168,237","117,635,849","360,288,143",775,867,396,555,"2,593",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"49,679",81.76%,"2,738","136,037,471","110,399,987","282,605,103",495,822,239,187,"1,743",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"26,145",60.41%,"2,536","66,302,955","46,966,687","119,853,059",248,359,87,105,799,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"75,824",72.88%,"2,669","202,340,426","157,366,674","402,458,162",743,"1,181",326,292,"2,542",,,,,,
其他地區 Other,國際Internation,"51,752",51.76%,"3,529","182,634,690","180,993,401","422,820,572",860,"1,440",570,455,"3,325",,,,,,
