,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2017/6/2,,資料期間：,,2017年3月至2017年3月(Data for 2017/3～2017/3),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"212,755",77.24%,"4,749","1,010,350,008","961,939,003","2,247,332,162","3,030","5,357","1,922",809,"11,118",,,,,,
臺北地區 Taipei,一般Standard,"57,404",77.74%,"3,602","206,755,301","177,605,726","440,913,695",742,926,375,297,"2,340",,,,,,
臺北地區 Taipei,小計SubTotal,"270,159",77.35%,"4,505","1,217,105,309","1,139,544,729","2,688,245,857","3,772","6,283","2,297","1,106","13,458",,,,,,
高雄地區 Kaohsiung,國際Internation,"59,906",66.89%,"2,482","148,686,715","178,494,230","368,146,357",841,"1,274",311,354,"2,780",,,,,,
高雄地區 Kaohsiung,一般Standard,"3,192",41.19%,"1,992","6,359,876","3,009,048","9,416,999",47,35,8,10,100,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"63,098",64.84%,"2,457","155,046,591","181,503,278","377,563,356",888,"1,309",319,364,"2,880",,,,,,
臺中地區 Taichung,國際Internation,"24,726",70.15%,"2,408","59,528,633","66,565,743","154,883,372",406,576,193,137,"1,312",,,,,,
臺中地區 Taichung,一般Standard,"8,176",75.57%,"2,384","19,490,010","26,268,919","50,986,061",110,211,39,39,399,,,,,,
臺中地區 Taichung,小計SubTotal,"32,902",71.42%,"2,402","79,018,643","92,834,662","205,869,433",516,787,232,176,"1,711",,,,,,
花蓮地區 Hualien,國際Internation,"17,183",40.82%,"1,953","33,551,319","32,556,458","70,236,707",226,317,118,218,879,,,,,,
花蓮地區 Hualien,小計SubTotal,"17,183",40.82%,"1,953","33,551,319","32,556,458","70,236,707",226,317,118,218,879,,,,,,
風景區 Scenic Area,國際Internation,"38,850",58.64%,"4,633","179,980,865","100,038,442","305,337,512",707,770,311,587,"2,375",,,,,,
風景區 Scenic Area,一般Standard,"6,876",26.44%,"4,098","28,175,540","15,247,061","45,970,117",135,140,70,36,381,,,,,,
風景區 Scenic Area,小計SubTotal,"45,726",49.56%,"4,552","208,156,405","115,285,503","351,307,629",842,910,381,623,"2,756",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"46,710",77.27%,"2,846","132,931,555","123,082,266","288,229,607",479,893,253,198,"1,823",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"26,487",61.38%,"2,579","68,313,237","33,188,383","107,914,226",257,359,85,72,773,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"73,197",70.65%,"2,749","201,244,792","156,270,649","396,143,833",736,"1,252",338,270,"2,596",,,,,,
其他地區 Other,國際Internation,"49,163",47.67%,"3,705","182,165,269","157,755,591","386,071,861",871,"1,366",617,430,"3,284",,,,,,
