,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2017/1/26,,資料期間：,,2016年12月至2016年12月(Data for 2016/12～2016/12),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"215,984",78.35%,"4,969","1,073,153,480","1,282,969,623","2,673,888,371","3,117","5,586","1,848",837,"11,388",,,,,,
臺北地區 Taipei,一般Standard,"62,793",85.04%,"3,955","248,368,081","238,315,472","552,127,494",755,932,363,281,"2,331",,,,,,
臺北地區 Taipei,小計SubTotal,"278,777",79.77%,"4,740","1,321,521,561","1,521,285,095","3,226,015,865","3,872","6,518","2,211","1,118","13,719",,,,,,
高雄地區 Kaohsiung,國際Internation,"61,887",69.10%,"2,555","158,129,672","246,910,929","447,828,133",851,"1,284",308,355,"2,798",,,,,,
高雄地區 Kaohsiung,一般Standard,"2,889",37.28%,"2,299","6,642,543","3,283,769","9,993,202",45,38,8,11,102,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"64,776",66.57%,"2,544","164,772,215","250,194,698","457,821,335",896,"1,322",316,366,"2,900",,,,,,
臺中地區 Taichung,國際Internation,"25,879",73.42%,"2,412","62,432,546","96,787,023","192,772,328",386,578,192,140,"1,296",,,,,,
臺中地區 Taichung,一般Standard,"8,188",75.68%,"2,424","19,844,015","36,433,357","61,878,630",114,200,40,43,397,,,,,,
臺中地區 Taichung,小計SubTotal,"34,067",73.95%,"2,415","82,276,561","133,220,380","254,650,958",500,778,232,183,"1,693",,,,,,
花蓮地區 Hualien,國際Internation,"22,453",53.34%,"2,010","45,127,416","45,074,824","96,015,070",282,345,115,171,913,,,,,,
花蓮地區 Hualien,小計SubTotal,"22,453",53.34%,"2,010","45,127,416","45,074,824","96,015,070",282,345,115,171,913,,,,,,
風景區 Scenic Area,國際Internation,"47,016",70.97%,"5,139","241,619,089","137,298,246","414,527,505",711,796,286,612,"2,405",,,,,,
風景區 Scenic Area,一般Standard,"7,625",41.06%,"3,746","28,561,865","18,850,191","49,356,114",113,121,62,39,335,,,,,,
風景區 Scenic Area,小計SubTotal,"54,641",64.42%,"4,945","270,180,954","156,148,437","463,883,619",824,917,348,651,"2,740",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"46,767",77.72%,"2,805","131,165,742","163,076,535","330,865,139",482,914,242,210,"1,848",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"24,995",57.92%,"2,486","62,141,936","50,689,933","119,391,984",260,399,86,68,813,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"71,762",69.45%,"2,694","193,307,678","213,766,468","450,257,123",742,"1,313",328,278,"2,661",,,,,,
其他地區 Other,國際Internation,"60,392",60.43%,"4,084","246,615,996","242,801,090","641,356,627",884,"1,383",513,475,"3,255",,,,,,
