,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2017/8/15,,資料期間：,,2017年2月至2017年2月(Data for 2017/2～2017/2),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"166,926",67.07%,"4,416","737,192,536","908,199,030","1,884,782,330","3,090","5,379","1,772",888,"11,129",,,,,,
臺北地區 Taipei,一般Standard,"48,425",72.61%,"3,704","179,378,831","181,426,891","418,706,555",751,928,371,299,"2,349",,,,,,
臺北地區 Taipei,小計SubTotal,"215,351",68.24%,"4,256","916,571,367","1,089,625,921","2,303,488,885","3,841","6,307","2,143","1,187","13,478",,,,,,
高雄地區 Kaohsiung,國際Internation,"51,394",63.53%,"2,608","134,035,543","182,215,780","351,025,430",844,"1,338",306,278,"2,766",,,,,,
高雄地區 Kaohsiung,一般Standard,"3,092",44.17%,"2,363","7,305,873","2,876,542","10,286,765",46,35,8,10,99,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"54,486",61.99%,"2,594","141,341,416","185,092,322","361,312,195",890,"1,373",314,288,"2,865",,,,,,
臺中地區 Taichung,國際Internation,"21,322",66.97%,"2,475","52,779,442","70,487,685","149,415,338",400,594,189,137,"1,320",,,,,,
臺中地區 Taichung,一般Standard,"6,840",70.00%,"2,383","16,300,673","27,003,771","48,008,767",108,207,39,42,396,,,,,,
臺中地區 Taichung,小計SubTotal,"28,162",67.68%,"2,453","69,080,115","97,491,456","197,424,105",508,801,228,179,"1,716",,,,,,
花蓮地區 Hualien,國際Internation,"18,887",49.67%,"2,520","47,601,929","35,875,844","89,895,793",224,347,117,233,921,,,,,,
花蓮地區 Hualien,小計SubTotal,"18,887",49.67%,"2,520","47,601,929","35,875,844","89,895,793",224,347,117,233,921,,,,,,
風景區 Scenic Area,國際Internation,"40,259",67.28%,"5,301","213,397,912","107,246,123","351,811,334",705,779,288,603,"2,375",,,,,,
風景區 Scenic Area,一般Standard,"5,158",30.75%,"3,858","19,899,309","10,401,739","32,326,804",135,131,68,35,369,,,,,,
風景區 Scenic Area,小計SubTotal,"45,417",59.28%,"5,137","233,297,221","117,647,862","384,138,138",840,910,356,638,"2,744",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"41,716",77.00%,"2,926","122,049,982","110,791,520","263,568,704",477,883,244,202,"1,806",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"21,387",54.87%,"2,521","53,926,603","35,806,745","95,125,719",260,353,88,73,774,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"63,103",67.74%,"2,789","175,976,585","146,598,265","358,694,423",737,"1,236",332,275,"2,580",,,,,,
其他地區 Other,國際Internation,"50,006",53.81%,"4,073","203,689,882","182,799,759","447,235,789",899,"1,374",601,404,"3,278",,,,,,
