,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2017/12/4,,資料期間：,,2017年5月至2017年5月(Data for 2017/5～2017/5),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"193,059",70.10%,"4,716","910,560,325","1,090,703,161","2,285,598,689","2,979","5,365","1,799",881,"11,024",,,,,,
臺北地區 Taipei,一般Standard,"51,910",67.52%,"3,479","180,607,544","188,115,310","421,282,008",749,"1,049",430,269,"2,497",,,,,,
臺北地區 Taipei,小計SubTotal,"244,969",69.54%,"4,454","1,091,167,869","1,278,818,471","2,706,880,697","3,728","6,414","2,229","1,150","13,521",,,,,,
高雄地區 Kaohsiung,國際Internation,"52,851",59.01%,"2,315","122,373,669","196,143,239","358,327,987",834,"1,250",304,352,"2,740",,,,,,
高雄地區 Kaohsiung,一般Standard,"3,893",50.23%,"1,922","7,480,616","3,034,058","10,577,917",42,32,8,8,90,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"56,744",58.31%,"2,288","129,854,285","199,177,297","368,905,904",876,"1,282",312,360,"2,830",,,,,,
臺中地區 Taichung,國際Internation,"20,686",58.69%,"2,444","50,564,651","76,551,899","151,105,456",391,561,191,136,"1,279",,,,,,
臺中地區 Taichung,一般Standard,"6,625",61.23%,"2,401","15,906,457","31,531,687","52,283,510",117,208,36,38,399,,,,,,
臺中地區 Taichung,小計SubTotal,"27,311",59.29%,"2,434","66,471,108","108,083,586","203,388,966",508,769,227,174,"1,678",,,,,,
花蓮地區 Hualien,國際Internation,"17,432",41.41%,"2,531","44,120,365","39,491,291","89,733,348",223,317,116,210,866,,,,,,
花蓮地區 Hualien,小計SubTotal,"17,432",41.41%,"2,531","44,120,365","39,491,291","89,733,348",223,317,116,210,866,,,,,,
風景區 Scenic Area,國際Internation,"41,743",63.01%,"5,280","220,397,754","111,957,134","375,578,552",723,769,312,547,"2,351",,,,,,
風景區 Scenic Area,一般Standard,"8,125",31.46%,"3,567","28,983,287","20,650,613","64,747,131",144,135,64,44,387,,,,,,
風景區 Scenic Area,小計SubTotal,"49,868",54.16%,"5,001","249,381,041","132,607,747","440,325,683",867,904,376,591,"2,738",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"43,905",72.44%,"2,894","127,047,801","143,149,369","303,706,483",465,886,259,173,"1,783",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"25,548",59.20%,"2,481","63,390,824","46,882,966","117,608,910",250,355,77,77,759,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"69,453",66.94%,"2,742","190,438,625","190,032,335","421,315,393",715,"1,241",336,250,"2,542",,,,,,
其他地區 Other,國際Internation,"58,930",57.15%,"3,691","217,483,505","225,618,861","497,033,702",871,"1,361",610,408,"3,250",,,,,,
