,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2016/6/20,,資料期間：,,2016年1月至2016年1月(Data for 2016/1～2016/1),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"189,776",68.86%,"4,740","899,568,448","1,388,180,708","2,587,259,097","3,076","5,439","1,787",808,"11,110",,,,,,
臺北地區 Taipei,一般Standard,"56,298",76.24%,"3,836","215,975,334","275,368,223","560,711,508",776,999,378,289,"2,442",,,,,,
臺北地區 Taipei,小計SubTotal,"246,074",70.42%,"4,533","1,115,543,782","1,663,548,931","3,147,970,605","3,852","6,438","2,165","1,097","13,552",,,,,,
高雄地區 Kaohsiung,國際Internation,"63,697",71.12%,"2,359","150,273,626","287,214,005","483,200,520",847,"1,302",363,348,"2,860",,,,,,
高雄地區 Kaohsiung,一般Standard,"3,641",46.98%,"2,246","8,179,265","6,613,552","14,919,235",41,39,4,9,93,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"67,338",69.20%,"2,353","158,452,891","293,827,557","498,119,755",888,"1,341",367,357,"2,953",,,,,,
臺中地區 Taichung,國際Internation,"20,828",59.09%,"2,521","52,501,148","122,565,493","201,536,207",394,639,203,131,"1,367",,,,,,
臺中地區 Taichung,一般Standard,"7,327",67.72%,"2,476","18,141,655","38,574,699","62,398,608",97,217,40,40,394,,,,,,
臺中地區 Taichung,小計SubTotal,"28,155",61.12%,"2,509","70,642,803","161,140,192","263,934,815",491,856,243,171,"1,761",,,,,,
花蓮地區 Hualien,國際Internation,"21,206",50.37%,"2,245","47,597,050","51,887,296","106,054,565",278,382,107,162,929,,,,,,
花蓮地區 Hualien,小計SubTotal,"21,206",50.37%,"2,245","47,597,050","51,887,296","106,054,565",278,382,107,162,929,,,,,,
風景區 Scenic Area,國際Internation,"39,695",66.04%,"5,331","211,628,729","119,226,582","363,171,134",657,753,400,463,"2,273",,,,,,
風景區 Scenic Area,一般Standard,"6,282",33.72%,"3,544","22,265,752","13,450,189","37,732,662",123,131,62,64,380,,,,,,
風景區 Scenic Area,小計SubTotal,"45,977",58.39%,"5,087","233,894,481","132,676,771","400,903,796",780,884,462,527,"2,653",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"50,213",82.64%,"2,818","141,495,441","181,028,226","362,477,246",518,839,238,185,"1,780",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"25,879",59.80%,"2,521","65,251,773","89,416,169","163,062,020",282,443,78,119,922,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"76,092",73.14%,"2,717","206,747,214","270,444,395","525,539,266",800,"1,282",316,304,"2,702",,,,,,
其他地區 Other,國際Internation,"53,680",53.69%,"3,938","211,417,339","281,057,202","556,297,843",900,"1,472",556,443,"3,371",,,,,,
