,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2016/6/20,,資料期間：,,2016年4月至2016年4月(Data for 2016/4～2016/4),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"185,689",69.60%,"4,790","889,529,974","873,477,916","2,025,092,970","3,070","5,309","1,808",799,"10,986",,,,,,
臺北地區 Taipei,一般Standard,"53,999",79.29%,"3,791","204,708,625","158,897,395","413,839,961",743,975,384,267,"2,369",,,,,,
臺北地區 Taipei,小計SubTotal,"239,688",71.57%,"4,565","1,094,238,599","1,032,375,311","2,438,932,931","3,813","6,284","2,192","1,066","13,355",,,,,,
高雄地區 Kaohsiung,國際Internation,"61,804",71.31%,"2,468","152,513,704","171,049,584","360,250,489",843,"1,284",314,353,"2,794",,,,,,
高雄地區 Kaohsiung,一般Standard,"4,375",58.33%,"1,932","8,452,278","3,781,961","12,334,074",44,35,5,8,92,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"66,179",70.28%,"2,432","160,965,982","174,831,545","372,584,563",887,"1,319",319,361,"2,886",,,,,,
臺中地區 Taichung,國際Internation,"23,079",67.66%,"2,504","57,780,396","67,554,888","152,845,976",376,580,198,132,"1,286",,,,,,
臺中地區 Taichung,一般Standard,"8,410",80.32%,"2,331","19,602,102","26,515,005","51,193,311",96,197,39,40,372,,,,,,
臺中地區 Taichung,小計SubTotal,"31,489",70.63%,"2,457","77,382,498","94,069,893","204,039,287",472,777,237,172,"1,658",,,,,,
花蓮地區 Hualien,國際Internation,"23,126",56.76%,"2,188","50,594,649","37,714,751","94,380,121",287,366,106,163,922,,,,,,
花蓮地區 Hualien,小計SubTotal,"23,126",56.76%,"2,188","50,594,649","37,714,751","94,380,121",287,366,106,163,922,,,,,,
風景區 Scenic Area,國際Internation,"39,265",67.50%,"5,519","216,720,373","100,850,943","347,807,226",659,752,275,543,"2,229",,,,,,
風景區 Scenic Area,一般Standard,"8,055",44.82%,"3,928","31,643,949","17,646,489","51,325,086",104,111,62,37,314,,,,,,
風景區 Scenic Area,小計SubTotal,"47,320",62.15%,"5,249","248,364,322","118,497,432","399,132,312",763,863,337,580,"2,543",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"47,493",80.77%,"2,799","132,933,487","101,935,339","269,098,530",494,815,246,185,"1,740",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"26,842",64.09%,"2,425","65,105,090","35,724,139","107,122,451",241,336,94,103,774,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"74,335",73.83%,"2,664","198,038,577","137,659,478","376,220,981",735,"1,151",340,288,"2,514",,,,,,
其他地區 Other,國際Internation,"54,951",56.81%,"3,836","210,785,224","168,880,139","444,437,581",890,"1,431",573,417,"3,311",,,,,,
