,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2017/1/11,,資料期間：,,2016年9月至2016年9月(Data for 2016/9～2016/9),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"174,019",65.22%,"4,550","791,757,131","1,053,734,071","2,114,649,592","3,126","5,530","1,832",829,"11,317",,,,,,
臺北地區 Taipei,一般Standard,"50,836",71.14%,"3,424","174,052,726","180,657,429","409,049,633",773,977,376,275,"2,401",,,,,,
臺北地區 Taipei,小計SubTotal,"224,855",66.47%,"4,295","965,809,857","1,234,391,500","2,523,699,225","3,899","6,507","2,208","1,104","13,718",,,,,,
高雄地區 Kaohsiung,國際Internation,"51,228",59.11%,"2,395","122,699,077","185,443,545","379,929,338",865,"1,281",308,353,"2,807",,,,,,
高雄地區 Kaohsiung,一般Standard,"2,360",31.47%,"2,162","5,101,909","4,262,327","9,433,520",41,45,9,10,105,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"53,588",56.91%,"2,385","127,800,986","189,705,872","389,362,858",906,"1,326",317,363,"2,912",,,,,,
臺中地區 Taichung,國際Internation,"22,942",67.26%,"2,335","53,559,446","87,573,072","172,619,289",397,581,199,134,"1,311",,,,,,
臺中地區 Taichung,一般Standard,"7,460",71.25%,"2,394","17,856,377","28,169,979","51,097,315",107,203,39,43,392,,,,,,
臺中地區 Taichung,小計SubTotal,"30,402",68.20%,"2,349","71,415,823","115,743,051","223,716,604",504,784,238,177,"1,703",,,,,,
花蓮地區 Hualien,國際Internation,"18,316",44.96%,"2,358","43,198,248","44,185,608","94,475,640",282,345,125,157,909,,,,,,
花蓮地區 Hualien,小計SubTotal,"18,316",44.96%,"2,358","43,198,248","44,185,608","94,475,640",282,345,125,157,909,,,,,,
風景區 Scenic Area,國際Internation,"35,074",54.71%,"5,458","191,417,874","98,372,799","316,872,338",702,780,293,610,"2,385",,,,,,
風景區 Scenic Area,一般Standard,"6,572",36.57%,"4,111","27,015,250","17,556,108","46,971,360",116,109,56,30,311,,,,,,
風景區 Scenic Area,小計SubTotal,"41,646",50.74%,"5,245","218,433,124","115,928,907","363,843,698",818,889,349,640,"2,696",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"40,536",69.15%,"2,960","119,988,624","146,135,621","300,875,440",514,809,249,195,"1,767",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"20,856",49.80%,"2,555","53,281,882","44,998,762","105,674,181",252,391,82,108,833,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"61,392",61.09%,"2,822","173,270,506","191,134,383","406,549,621",766,"1,200",331,303,"2,600",,,,,,
其他地區 Other,國際Internation,"48,570",50.25%,"3,773","183,235,090","186,455,793","425,970,676",909,"1,412",555,436,"3,312",,,,,,
