,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2017/12/4,,資料期間：,,2017年7月至2017年7月(Data for 2017/7～2017/7),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"176,278",64.10%,"4,317","760,973,698","908,141,494","1,913,013,726","3,029","5,435","1,773",947,"11,184",,,,,,
臺北地區 Taipei,一般Standard,"53,293",68.77%,"3,295","175,580,399","159,478,009","384,830,135",771,"1,090",424,270,"2,555",,,,,,
臺北地區 Taipei,小計SubTotal,"229,571",65.13%,"4,080","936,554,097","1,067,619,503","2,297,843,861","3,800","6,525","2,197","1,217","13,739",,,,,,
高雄地區 Kaohsiung,國際Internation,"54,183",60.50%,"2,378","128,858,246","161,870,423","338,789,448",820,"1,285",315,364,"2,784",,,,,,
高雄地區 Kaohsiung,一般Standard,"4,285",49.90%,"2,146","9,193,885","6,502,217","16,192,098",99,95,49,7,250,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"58,468",59.57%,"2,361","138,052,131","168,372,640","354,981,546",919,"1,380",364,371,"3,034",,,,,,
臺中地區 Taichung,國際Internation,"22,044",62.54%,"2,519","55,536,741","67,316,046","147,323,185",417,588,184,148,"1,337",,,,,,
臺中地區 Taichung,一般Standard,"8,007",74.01%,"2,385","19,097,877","32,123,282","56,490,288",115,208,36,41,400,,,,,,
臺中地區 Taichung,小計SubTotal,"30,051",65.23%,"2,484","74,634,618","99,439,328","203,813,473",532,796,220,189,"1,737",,,,,,
花蓮地區 Hualien,國際Internation,"24,883",59.11%,"2,839","70,637,884","42,134,462","123,087,339",230,308,116,211,865,,,,,,
花蓮地區 Hualien,小計SubTotal,"24,883",59.11%,"2,839","70,637,884","42,134,462","123,087,339",230,308,116,211,865,,,,,,
風景區 Scenic Area,國際Internation,"44,601",67.45%,"6,463","288,253,718","123,560,572","453,632,076",805,901,289,619,"2,614",,,,,,
風景區 Scenic Area,一般Standard,"10,385",37.60%,"4,165","43,250,938","18,964,358","64,924,834",207,188,80,70,545,,,,,,
風景區 Scenic Area,小計SubTotal,"54,986",58.66%,"6,029","331,504,656","142,524,930","518,556,910","1,012","1,089",369,689,"3,159",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"46,650",77.41%,"2,954","137,797,723","120,454,249","294,329,603",495,885,254,189,"1,823",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"24,148",55.96%,"2,510","60,609,183","38,572,873","105,677,588",258,355,75,87,775,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"70,798",68.46%,"2,802","198,406,906","159,027,122","400,007,191",753,"1,240",329,276,"2,598",,,,,,
其他地區 Other,國際Internation,"67,146",62.01%,"4,099","275,214,109","214,718,158","547,853,907",912,"1,479",596,499,"3,486",,,,,,
