旅館名稱Region,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳
HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other
Asia Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",合計Total,,
新?老爺?酒店,"5,314",424,"5,738","3,762",285,581,160,8,47,70,112,328,316,29,40,0,"5,738",,
新?國賓?飯店,"7,446",435,"7,881","3,884",517,395,680,10,118,41,240,"1,053",884,11,48,0,"7,881",,
尊爵?飯店,"1,725","6,219","7,944",568,395,"1,171","4,258",69,9,30,949,126,66,23,280,0,"7,944",,
古華花園飯店,"8,382","1,419","9,801","5,200",974,520,348,204,305,140,173,377,240,45,"1,275",0,"9,801",,
福容?飯店 桃園,"3,637","2,789","6,426","1,366",325,246,"2,820",618,39,64,128,67,81,6,666,0,"6,426",,
福容?飯店 林?,"1,990","3,403","5,393","1,370",390,400,"2,257",29,27,54,115,72,92,4,583,0,"5,393",,
豐?喜來登?飯店,"2,953",279,"3,232","1,029",169,123,165,14,100,41,87,"1,190",205,9,100,0,"3,232",,
馥藝?鬱?香酒店,"4,833","3,355","8,188","7,709",121,114,64,10,5,2,3,18,122,2,18,0,"8,188",,
總計Total,"519,944","213,304","733,248","258,090","149,131","115,162","57,915","30,883","10,597","6,346","30,461","41,003","17,834","4,095","10,120","1,611","733,248",,
,,,,,,,,,,,,,,,,,,,
觀光旅館營運?報表單?-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,,
列印?期,2019/06/18,風景區,,資料期間:,,2019年2??2019年2?(Data for 2019/2~2019/2),,,,,,,,,,,,,
,住客類別統計No. of Guests by Type,,,各地區旅客?數統計No. of Guests by Country / Region,,,,,,,,,,,,,,,
旅館名稱Region,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳
HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other
Asia Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",合計Total,,
名都觀光渡假?飯店,757,"1,844","2,601",718,"1,877",0,0,0,0,0,0,6,0,0,0,0,"2,601",,
"陽明?中國麗緻
?飯店","1,432",10,"1,442",788,56,9,0,0,0,0,126,36,6,2,368,51,"1,442",,
趣淘漫旅,"6,057","2,802","8,859","8,833",0,8,0,0,14,2,0,2,0,0,0,0,"8,859",,
?雄圓??飯店,"2,180","2,555","4,735","3,636",674,262,23,40,0,0,20,34,38,6,2,0,"4,735",,
礁溪老爺?酒店,"11,174","1,213","12,387","11,069",324,93,57,536,21,6,132,106,28,14,1,0,"12,387",,
涵碧樓?飯店,492,"4,237","4,729","3,134",367,379,17,132,36,26,197,294,84,36,27,0,"4,729",,
