觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,43423,,資料期間：,,2018年5月至2018年5月(Data for 2018/5～2018/5),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,186918,0.6797,4648,868752996,1058789833,2252883726,2898,5202,1830,850,10780,,,,,,
臺北地區 Taipei,一般Standard,52517,0.6776,3505,184094370,170324750,401303870,774,1029,440,271,2514,,,,,,
臺北地區 Taipei,小計SubTotal,239435,0.6792,4397,1052847366,1229114583,2654187596,3672,6231,2270,1121,13294,,,,,,
高雄地區 Kaohsiung,國際Internation,49694,0.5549,2219,110286600,170343839,322271266,816,1240,305,359,2720,,,,,,
高雄地區 Kaohsiung,一般Standard,4893,0.3976,2031,9938760,14872567,26540636,100,112,58,4,274,,,,,,
高雄地區 Kaohsiung,小計SubTotal,54587,0.5359,2202,120225360,185216406,348811902,916,1352,363,363,2994,,,,,,
臺中地區 Taichung,國際Internation,19627,0.5568,2356,46243026,67588248,137459370,361,509,170,89,1129,,,,,,
臺中地區 Taichung,一般Standard,6726,0.6217,2680,18027687,28737843,51881548,113,175,37,42,367,,,,,,
臺中地區 Taichung,小計SubTotal,26353,0.5721,2439,64270713,96326091,189340918,474,684,207,131,1496,,,,,,
花蓮地區 Hualien,國際Internation,15995,0.4742,2136,34169089,30195833,70738469,243,234,91,145,713,,,,,,
花蓮地區 Hualien,小計SubTotal,15995,0.4742,2136,34169089,30195833,70738469,243,234,91,145,713,,,,,,
風景區 Scenic Area,國際Internation,40732,0.6149,4754,193637572,102710050,321548717,710,793,285,549,2337,,,,,,
風景區 Scenic Area,一般Standard,7655,0.2943,3816,29209623,15299693,46136099,140,140,73,92,445,,,,,,
風景區 Scenic Area,小計SubTotal,48387,0.5245,4606,222847195,118009743,367684816,850,933,358,641,2782,,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,46757,0.6549,2809,131355257,152917650,314184516,537,960,296,212,2005,,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,23019,0.5334,2499,57530395,50210997,114273813,274,347,85,67,773,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,69776,0.6092,2707,188885652,203128647,428458329,811,1307,381,279,2778,,,,,,
其他地區 Other,國際Internation,62255,0.487,3528,219609079,271695419,544227145,1050,1789,723,501,4063,,,,,,
其他地區 Other,一般Standard,17941,0.4411,2338,41939538,28951650,76799468,283,257,133,45,718,,,,,,
其他地區 Other,小計SubTotal,80196,0.4759,3261,261548617,300647069,621026613,1333,2046,856,546,4781,,,,,,
,總計 Total,534729,0.588,3637,1944793992,2162638372,4680248643,8299,12787,4526,3226,28838,,,,,,
,,,,,,,,,,,,,,,,,,
類別,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
