觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,43426,,資料期間：,,2018年9月至2018年9月(Data for 2018/9～2018/9),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,183183,0.6886,4460,817084022,1099587975,2196859973,2881,5317,1767,846,10811,,,,,,
臺北地區 Taipei,一般Standard,54739,0.6883,3482,190610695,185013528,431246259,745,1036,490,240,2511,,,,,,
臺北地區 Taipei,小計SubTotal,237922,0.6885,4235,1007694717,1284601503,2628106232,3626,6353,2257,1086,13322,,,,,,
高雄地區 Kaohsiung,國際Internation,48892,0.5445,2307,112806707,173774806,358978937,787,1225,298,355,2665,,,,,,
高雄地區 Kaohsiung,一般Standard,4666,0.3918,2416,11271534,13766053,27769598,98,109,58,4,269,,,,,,
高雄地區 Kaohsiung,小計SubTotal,53558,0.5266,2317,124078241,187540859,386748535,885,1334,356,359,2934,,,,,,
臺中地區 Taichung,國際Internation,17322,0.6352,2670,46248304,100132990,188398412,351,499,159,88,1097,,,,,,
臺中地區 Taichung,一般Standard,6690,0.639,2817,18842777,33985577,58122305,115,170,35,38,358,,,,,,
臺中地區 Taichung,小計SubTotal,24012,0.6362,2711,65091081,134118567,246520717,466,669,194,126,1455,,,,,,
花蓮地區 Hualien,國際Internation,14519,0.4448,2522,36612951,34480582,78617733,253,237,90,148,728,,,,,,
花蓮地區 Hualien,小計SubTotal,14519,0.4448,2522,36612951,34480582,78617733,253,237,90,148,728,,,,,,
風景區 Scenic Area,國際Internation,36983,0.579,5225,193234874,103156098,326554426,676,810,277,562,2325,,,,,,
風景區 Scenic Area,一般Standard,7644,0.3146,3823,29222482,15316236,46570736,150,147,72,80,449,,,,,,
風景區 Scenic Area,小計SubTotal,44627,0.5061,4985,222457356,118472334,373125162,826,957,349,642,2774,,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,48957,0.7086,2862,140114449,188516128,360422270,552,1012,289,214,2067,,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,22119,0.5297,2596,57426943,54224026,117195067,269,352,92,60,773,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,71076,0.6412,2779,197541392,242740154,477617337,821,1364,381,274,2840,,,,,,
其他地區 Other,國際Internation,61002,0.4931,3755,229062500,272961393,558661254,1029,1756,737,484,4006,,,,,,
其他地區 Other,一般Standard,14958,0.3803,2591,38760710,30250224,75724346,266,267,129,54,716,,,,,,
其他地區 Other,小計SubTotal,75960,0.4659,3526,267823210,303211617,634385600,1295,2023,866,538,4722,,,,,,
,總計 Total,521674,0.593,3683,1921298948,2305165616,4825121316,8172,12937,4493,3173,28775,,,,,,
,,,,,,,,,,,,,,,,,,
類別,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
