"礁溪老爺?酒店
Hotel Royal Chiao-His",,"10,527","3,215","13,742","12,736",291,70,41,359,46,4,11,111,43,30,0,0,,"13,742"
"知本老爺?酒店
Hotel Royal Chihpen
Spa",,"8,345","2,086","10,431","9,434",178,135,8,67,41,10,0,126,414,12,6,0,,"10,431"
"涵碧樓?飯店
The Lalu Sun Moon
Lake",,"3,231","1,091","4,322","2,719",272,581,18,62,23,12,159,313,121,29,13,0,,"4,322"
"陽明?中國麗緻?飯店
Hotel Landis China Yangmingshan",,"1,170",46,"1,216",471,48,31,0,0,0,0,84,18,8,6,478,72,,"1,216"
"趣淘漫旅
HOTEL CHAM CHAM",,"4,810","4,280","9,090","9,048",0,0,18,0,18,0,4,2,0,0,0,0,,"9,090"
"凱撒?飯店
Caesar Park Hotel
Kenting",,"14,115","5,375","19,490","15,879","2,558",269,298,64,32,43,6,117,94,30,100,0,,"19,490"
"阿??賓館
Alishan House",,601,257,858,591,94,14,15,20,14,4,33,16,5,9,43,0,,858
"龍??飯店
Dragon Valley Hotel",,"2,396","2,175","4,571","4,556",0,15,0,0,0,0,0,0,0,0,0,0,,"4,571"
"福容?飯店 福隆
Fulong Beach Resort
Hotel",,"1,334",574,"1,908","1,898",0,0,0,0,0,0,0,3,2,3,2,0,,"1,908"
阿??賓館(新館) Alishan House,,"2,927","1,255","4,182","2,883",457,68,76,95,71,18,163,78,26,43,204,0,,"4,182"
"墾丁怡灣渡假酒店
Grand Bay Resort",,684,"1,406","2,090",447,4,0,0,4,0,0,0,0,0,0,"1,635",0,,"2,090"
"名都觀光渡假?飯店
Beau Max Resort
Hotel",,616,"1,068","1,684","1,335",349,0,0,0,0,0,0,0,0,0,0,0,,"1,684"
總計Total,,"600,795","269,620","870,415","345,891","120,807","148,991","61,366","27,945","14,404","5,837","25,850","65,621","25,536","7,545","17,891","2,731",,"870,415"
觀光旅館營運?報表單?-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,,
列印?期,,2019/05/10,其他地區,,資料期間:,,2019年1??2019年1?(Data for 2019/1~2019/1),,,,,,,,,,,,
,,住客類別統計No. of Guests by Type,,,各地區旅客?數統計No. of Guests by Country / Region,,,,,,,,,,,,,,
