Category,year,mon,day,Number
sum,2017,1,1,"4,223,969"
sum,2017,2,1,"3,635,326"
sum,2017,3,1,"2,281,055"
sum,2017,4,1,"2,556,072"
sum,2017,5,1,"2,314,741"
sum,2017,6,1,"1,851,847"
sum,2017,7,1,"2,479,214"
sum,2017,8,1,"2,517,129"
sum,2017,9,1,"2,135,728"
sum,2017,10,1,"3,625,354"
sum,2017,11,1,"2,819,162"
sum,2017,12,1,"2,996,667"
sum,2018,1,1,"2,244,239"
sum,2018,2,1,"4,481,697"
sum,2018,3,1,"2,706,419"
sum,2018,4,1,"2,719,837"
sum,2018,5,1,"2,263,568"
