Category,year,mon,day,Number
sum,2016,1,1,0
sum,2016,2,1,0
sum,2016,3,1,0
sum,2016,4,1,"2,544,556"
sum,2016,5,1,"2,649,273"
sum,2016,6,1,"1,993,079"
sum,2016,7,1,"2,735,036"
sum,2016,8,1,"2,900,243"
sum,2016,9,1,"1,790,595"
sum,2016,10,1,"3,214,465"
sum,2016,11,1,"2,244,473"
sum,2016,12,1,"2,266,843"
sum,2017,1,1,"4,223,969"
sum,2017,2,1,"3,635,326"
sum,2017,3,1,"2,281,055"
sum,2017,4,1,"2,556,072"
sum,2017,5,1,"2,314,741"
