Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3629,0.3942,1704,6184893,2367932,8598581,37,28,35,2,102
華園大飯店,269,3901,0.4678,1732,6755544,7001111,14943708,39,38,35,0,112
高雄國賓大飯店,453,11364,0.8092,2044,23230205,46667053,72123649,124,168,20,59,371
漢來大飯店,436,8853,0.655,4075,36075280,79387611,133163991,193,490,7,215,905
高雄福華大飯店,271,7029,0.8367,2314,16263000,24255000,44349000,98,145,34,23,300
君鴻國際酒店,585,11741,0.6474,2518,29565473,35956318,75016413,153,184,135,27,499
寒軒國際大飯店,380,8503,0.7218,2037,17318788,27136934,45927164,107,119,32,27,285
麗尊大酒店,198,4511,0.7349,2130,9609346,24817505,37267434,72,100,12,26,210
晶英國際行館,147,309,0.0678,9988,3086424,13111491,18489756,67,75,45,0,187
福容大飯店 高雄,250,4279,0.5521,2059,8812187,4074769,12960347,36,38,8,8,90
