Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,3740,2791,6531,3567,274,1757,74,80,77,28,251,180,213,30,0,0,6531
華園大飯店,1458,7546,9004,4949,1727,1128,39,245,330,132,239,92,69,54,0,0,9004
高雄國賓大飯店,8279,11261,19540,8682,4031,4135,232,269,115,110,177,399,1034,45,311,0,19540
漢來大飯店,13376,4220,17596,7121,2403,2210,0,0,0,0,571,1548,1072,385,1429,857,17596
高雄福華大飯店,8676,4565,13241,5059,1369,3921,286,536,265,254,294,428,465,82,282,0,13241
君鴻國際酒店,8886,11358,20244,11602,3977,1052,338,932,262,99,454,584,553,54,337,0,20244
寒軒國際大飯店,7003,7048,14051,8149,3019,1612,77,156,41,91,333,247,275,14,37,0,14051
麗尊大酒店,5319,2127,7446,4311,1325,682,74,398,87,76,0,77,310,52,54,0,7446
福容大飯店 高雄,2447,4254,6701,4811,940,285,29,73,17,21,268,70,124,48,15,0,6701
