Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2587,0.281,1455,3764259,2251557,6131186,36,33,38,2,109
華園大飯店,269,3190,0.3825,1662,5300594,1795152,7816142,45,43,32,0,120
高雄國賓大飯店,453,10113,0.7201,2042,20645734,32363042,55056538,128,170,19,59,376
漢來大飯店,436,8792,0.6505,3445,30291612,60270307,105800787,187,477,8,202,874
高雄福華大飯店,271,6498,0.7735,2426,15767000,13253000,32290000,91,128,35,22,276
君鴻國際酒店,585,10241,0.5647,2594,26563353,23603908,63315796,156,205,134,29,524
寒軒國際大飯店,380,7777,0.6602,1994,15508217,15491643,32422037,106,129,37,23,295
麗尊大酒店,198,4985,0.8122,2210,11017477,12841814,35956962,71,100,12,27,210
晶英國際行館,27,117,0.1398,7600,889216,3456013,4786117,60,48,41,0,149
福容大飯店 高雄,250,4168,0.5378,1992,8304669,3046204,11405981,39,47,8,7,101
