Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3996,0.434,1582,6322849,3170207,9550116,35,24,39,2,100
華園大飯店,269,4514,0.5413,1941,8760021,4369397,13492989,36,51,37,0,124
高雄國賓大飯店,453,10257,0.7304,1973,20241214,35315645,57729909,149,178,16,42,385
漢來大飯店,436,9862,0.7297,3434,33868083,65608508,115844514,173,444,8,190,815
高雄福華大飯店,271,7148,0.8509,1927,13773000,19516000,36934000,98,127,35,23,283
君鴻國際酒店,585,11370,0.627,2327,26454901,35359534,72702045,171,200,138,27,536
寒軒國際大飯店,380,8741,0.742,1925,16823732,20242445,38613233,115,136,36,31,318
麗尊大酒店,198,4634,0.755,2259,10467249,22199882,34750855,70,107,13,27,217
福容大飯店 高雄,250,4194,0.5412,1712,7180761,4718445,11973638,43,36,4,10,93
