Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,3577,2971,6548,5114,152,573,127,48,35,40,67,96,199,32,65,0,6548
華園大飯店,1376,5690,7066,2704,1735,1187,90,294,318,166,272,226,21,14,39,0,7066
高雄國賓大飯店,8775,9206,17981,7781,2957,3804,212,779,103,106,652,430,604,100,453,0,17981
漢來大飯店,13490,1777,15267,5942,1937,1739,0,0,0,0,410,1878,1326,394,1026,615,15267
高雄福華大飯店,9516,3731,13247,5026,1729,2977,236,233,167,1021,274,283,710,79,512,0,13247
君鴻國際酒店,7452,11818,19270,10370,4616,1155,1171,537,210,92,220,213,320,71,295,0,19270
寒軒國際大飯店,7292,6534,13826,7252,3408,1759,141,318,80,95,155,244,331,36,7,0,13826
麗尊大酒店,5893,2874,8767,4980,1637,699,231,248,53,167,129,66,119,47,391,0,8767
晶英國際行館,395,105,500,392,26,4,0,37,9,0,6,8,18,0,0,0,500
福容大飯店 高雄,3699,6837,10536,7691,1324,393,363,162,2,18,421,51,91,10,10,0,10536
