Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,2515,2120,4635,3385,97,606,65,22,51,10,112,79,199,8,1,0,4635
華園大飯店,784,4724,5508,2635,914,1543,40,174,22,26,11,132,8,3,0,0,5508
高雄國賓大飯店,6588,10152,16740,8991,2914,2898,355,650,50,68,229,181,235,55,114,0,16740
漢來大飯店,11418,1809,13227,5242,1525,1714,0,0,0,0,364,1804,765,356,911,546,13227
高雄福華大飯店,7414,3017,10431,4451,1616,2465,271,202,78,99,411,311,294,42,191,0,10431
君鴻國際酒店,8019,8432,16451,10149,2457,1278,340,373,190,95,439,473,351,86,220,0,16451
寒軒國際大飯店,6229,5218,11447,5920,2835,1486,173,162,55,50,336,157,251,13,9,0,11447
麗尊大酒店,4509,1729,6238,3382,1272,671,74,292,42,70,150,14,118,6,147,0,6238
晶英國際行館,910,58,968,450,18,16,0,9,4,3,6,7,3,0,452,0,968
福容大飯店 高雄,2284,6143,8427,6740,789,338,206,48,10,36,210,17,23,10,0,0,8427
