Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,4188,0.4549,2746,11498799,9348354,21092366,35,33,33,2,103
華園大飯店,269,4234,0.5077,1691,7158091,6453872,14279066,37,36,30,0,103
高雄國賓大飯店,453,10489,0.7469,2185,22914916,39552630,64735952,151,172,16,46,385
漢來大飯店,436,10507,0.7774,3960,41607033,83502559,144920952,186,473,8,198,865
高雄福華大飯店,271,7484,0.8908,2074,15519000,20849000,39921000,102,131,34,22,289
君鴻國際酒店,585,11918,0.6572,2655,31643035,36715724,80502699,161,205,138,29,533
寒軒國際大飯店,380,8430,0.7156,2089,17610014,26346707,45577131,109,133,37,30,309
麗尊大酒店,198,4637,0.7555,2195,10178784,24142083,36798967,70,101,12,28,211
福容大飯店 高雄,250,2889,0.3728,2299,6642543,3283769,9993202,45,38,8,11,102
