Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,4149,0.4506,1571,6519079,4818506,11489245,37,27,39,2,105
華園大飯店,269,5043,0.6047,1853,9346574,7073932,16824729,44,52,38,0,134
高雄國賓大飯店,453,11193,0.7971,2097,23466464,49068329,75180130,151,178,16,44,389
漢來大飯店,436,11136,0.8239,3650,40648068,89605919,151993231,177,470,8,191,846
高雄福華大飯店,271,7034,0.8373,2034,14310000,26721000,44648000,96,133,35,22,286
君鴻國際酒店,585,12152,0.6701,2352,28577448,46885216,88302105,157,196,182,31,566
寒軒國際大飯店,380,8064,0.6846,2045,16494903,36219657,54361994,120,139,34,31,324
麗尊大酒店,198,4926,0.8025,2215,10911090,26821446,40401086,65,107,11,27,210
福容大飯店 高雄,250,3641,0.4698,2246,8179265,6613552,14919235,41,39,4,9,93
