Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2883,0.3236,1463,4216494,2527813,6834004,39,35,38,2,114
華園大飯店,269,3467,0.4296,1678,5816888,1763483,8333948,43,36,31,0,110
高雄國賓大飯店,453,10281,0.7565,1989,20453711,34693839,57126127,135,153,19,43,350
漢來大飯店,436,10005,0.7649,3454,34555333,57021322,105722465,174,454,8,209,845
高雄福華大飯店,271,6504,0.8,2180,14181000,15099000,32610000,91,121,34,21,267
君鴻國際酒店,585,10151,0.5784,2442,24790011,26966201,64103777,148,191,133,28,500
寒軒國際大飯店,380,7607,0.6673,1940,14759345,16683828,32992000,108,127,37,25,297
麗尊大酒店,198,3775,0.6355,2130,8041738,19330660,29155596,71,100,12,27,210
福容大飯店 高雄,250,3990,0.532,1708,6813397,3304723,10150601,41,34,8,8,91
