Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,3123,3802,6925,3072,738,2282,192,173,13,30,206,37,176,3,3,0,6925
華園大飯店,2464,5688,8152,3190,2804,1235,109,356,78,31,77,191,70,11,0,0,8152
高雄國賓大飯店,9348,7839,17187,8029,4268,3321,208,453,62,33,181,198,292,14,128,0,17187
漢來大飯店,15973,3117,19090,10429,2250,1518,0,0,0,0,615,959,644,213,1539,923,19090
高雄福華大飯店,12093,2386,14479,5599,1876,4027,508,723,168,142,341,301,460,42,292,0,14479
君鴻國際酒店,10358,8036,18394,10184,4011,1324,324,1471,148,101,134,215,296,62,124,0,18394
寒軒國際大飯店,7998,4302,12300,6469,2997,1592,117,433,81,99,270,76,141,13,12,0,12300
麗尊大酒店,7271,1798,9069,4608,1688,916,176,1111,46,81,0,264,148,4,27,0,9069
福容大飯店 高雄,4807,3313,8120,5727,1883,155,81,112,4,9,30,29,79,11,0,0,8120
