Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3652,0.3967,1570,5734453,3747034,9608026,35,27,35,2,99
華園大飯店,269,3512,0.4212,1741,6115346,4329688,10922677,39,39,33,0,111
高雄國賓大飯店,453,11493,0.8184,2006,23058158,40888299,66357604,123,169,20,59,371
漢來大飯店,436,9033,0.6683,4137,37368383,64284496,147006462,192,481,7,214,894
高雄福華大飯店,271,6873,0.8181,2258,15516000,20919000,39844000,95,140,33,23,291
君鴻國際酒店,585,11241,0.6199,2389,26852226,27090663,68044991,159,191,139,24,513
寒軒國際大飯店,380,8540,0.725,1958,16719728,21466336,39635635,109,122,34,22,287
麗尊大酒店,198,4805,0.7828,2130,10234280,23922661,36634842,72,100,12,27,211
晶英國際行館,137,270,0.0636,8824,2382504,10609735,16709347,68,74,44,0,186
福容大飯店 高雄,250,5122,0.6609,1813,9286438,4521473,13848743,40,38,8,8,94
