Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,4325,0.4698,1495,6463879,3743977,10277660,36,24,40,2,102
華園大飯店,269,5551,0.6657,2096,11633701,4475917,16548006,39,49,38,0,126
高雄國賓大飯店,453,10740,0.7648,2049,22003219,35769840,59827865,150,176,17,42,385
漢來大飯店,436,11092,0.8207,3806,42221421,70370212,128366981,175,457,8,194,834
高雄福華大飯店,271,6750,0.8035,2193,14801000,18362000,37073000,99,132,35,22,288
君鴻國際酒店,585,12169,0.671,2394,29130916,29700230,70108805,172,199,135,29,535
寒軒國際大飯店,380,8644,0.7338,2093,18091264,21989268,41858421,118,136,34,33,321
麗尊大酒店,198,5020,0.8179,2246,11275320,20618910,34044698,65,107,11,27,210
福容大飯店 高雄,250,4169,0.5379,1736,7237094,3795713,11115991,43,40,8,4,95
