Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,2933,1668,4601,3525,156,471,64,60,9,16,135,5,139,21,0,0,4601
華園大飯店,1542,4898,6440,2000,2328,1078,62,338,22,17,212,162,201,20,0,0,6440
高雄國賓大飯店,9456,7158,16614,8682,3648,2367,244,813,58,33,138,196,287,30,118,0,16614
漢來大飯店,12188,1563,13751,6717,1675,1475,0,0,0,0,380,1270,545,171,949,569,13751
高雄福華大飯店,12641,1001,13642,6030,1311,2966,469,368,160,338,583,333,458,37,589,0,13642
君鴻國際酒店,8279,9033,17312,9818,3527,687,652,539,152,81,241,363,319,34,899,0,17312
寒軒國際大飯店,7981,4971,12952,7364,2706,1366,135,361,45,71,510,86,261,23,24,0,12952
麗尊大酒店,9102,2259,11361,6338,2087,899,265,781,251,63,327,46,188,6,110,0,11361
晶英國際行館,251,0,251,240,4,3,0,3,0,0,0,0,1,0,0,0,251
福容大飯店 高雄,5174,3999,9173,5808,2218,353,89,106,7,29,468,26,54,10,5,0,9173
