Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,3204,2474,5678,3450,203,1307,49,76,33,54,214,45,180,67,0,0,5678
華園大飯店,1043,6009,7052,2854,1294,1466,222,391,123,274,194,134,100,0,0,0,7052
高雄國賓大飯店,7344,11121,18465,7297,3566,4864,304,919,112,285,312,284,423,20,79,0,18465
漢來大飯店,13066,3125,16191,6151,1938,3185,0,0,0,0,375,1547,1164,333,936,562,16191
高雄福華大飯店,8601,4852,13453,4500,2026,3488,561,233,132,634,419,278,741,27,414,0,13453
君鴻國際酒店,7073,12361,19434,9494,4755,2032,1128,358,310,99,393,271,298,61,235,0,19434
寒軒國際大飯店,6623,6738,13361,7016,3042,2034,151,199,74,40,216,268,287,15,19,0,13361
麗尊大酒店,5573,2956,8529,3895,2047,939,176,374,214,131,296,50,214,35,158,0,8529
晶英國際行館,343,46,389,277,1,60,0,31,0,0,10,5,5,0,0,0,389
福容大飯店 高雄,2694,8481,11175,7724,1975,509,181,141,36,112,331,31,123,8,4,0,11175
