Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3430,0.3725,1566,5369709,2561620,8068427,35,30,39,2,106
華園大飯店,269,3618,0.4339,1875,6782460,1871379,9483059,42,41,30,0,113
高雄國賓大飯店,453,11021,0.7848,2047,22557992,32360279,56992843,127,171,20,59,377
漢來大飯店,436,9732,0.72,3757,36561494,61234461,112868545,183,457,8,211,859
高雄福華大飯店,271,7001,0.8334,2346,16422000,12819000,32177000,93,126,33,22,274
君鴻國際酒店,585,10181,0.5614,2488,25333882,24223142,64600587,157,198,136,25,516
寒軒國際大飯店,380,8656,0.7348,2033,17600047,17101398,36384117,105,123,37,23,288
麗尊大酒店,198,5002,0.8149,2235,11179149,17930625,31003717,72,100,12,27,211
晶英國際行館,65,404,0.2005,8967,3622835,9810395,14863911,66,67,42,0,175
福容大飯店 高雄,250,4475,0.5774,2246,10049272,3434912,13534256,39,40,8,7,94
