Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,3889,2358,6247,4119,203,908,154,161,67,69,278,109,132,38,9,0,6247
華園大飯店,2347,5654,8001,3074,1195,1343,431,1230,169,342,32,71,68,10,36,0,8001
高雄國賓大飯店,8345,10333,18678,8411,4050,3374,641,897,92,40,348,319,327,38,141,0,18678
漢來大飯店,14128,2037,16165,6927,1774,2386,0,0,0,0,563,1275,752,237,1407,844,16165
高雄福華大飯店,10529,3453,13982,5563,1667,3537,579,291,267,222,574,245,551,52,434,0,13982
君鴻國際酒店,8939,11597,20536,7601,4505,1828,3041,1090,825,136,362,283,370,123,372,0,20536
寒軒國際大飯店,7506,6553,14059,7820,2681,1655,588,290,104,112,379,224,177,25,4,0,14059
麗尊大酒店,6463,1963,8426,3681,1767,933,382,539,315,123,213,61,190,34,188,0,8426
晶英國際行館,491,84,575,446,20,29,19,26,3,0,15,9,8,0,0,0,575
福容大飯店 高雄,4311,4666,8977,5204,1766,299,435,397,39,223,440,19,131,10,14,0,8977
