Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2861,0.3211,1445,4133639,1893090,6112688,37,30,37,2,106
華園大飯店,269,2658,0.3294,1622,4311203,2076595,7538599,39,37,31,0,107
高雄國賓大飯店,453,10131,0.7455,1981,20074250,39054729,60903554,125,169,20,60,374
漢來大飯店,436,8432,0.6446,3713,31306437,49023885,94418518,188,478,7,213,886
高雄福華大飯店,271,5319,0.6542,2306,12265000,13899000,29052000,94,129,33,22,278
君鴻國際酒店,585,10366,0.5907,2479,25699559,21104014,66232411,162,189,137,25,513
寒軒國際大飯店,380,7367,0.6462,1941,14300474,18515894,34449493,105,122,36,23,286
麗尊大酒店,198,3567,0.6005,2235,7972178,14073959,23915800,72,99,12,27,210
晶英國際行館,126,593,0.1569,9352,5545569,10530978,18158197,67,66,44,0,177
福容大飯店 高雄,250,3727,0.4969,1805,6726869,3347325,10107167,40,37,8,7,92
