Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,2919,3730,6649,2627,1293,1659,89,79,65,21,533,89,169,22,3,0,6649
華園大飯店,1596,7089,8685,4051,3294,880,10,158,101,57,58,34,20,22,0,0,8685
高雄國賓大飯店,6608,10226,16834,6311,5168,3810,94,304,49,89,268,183,339,33,186,0,16834
漢來大飯店,11550,3501,15051,5593,2784,1712,0,0,0,0,503,1301,895,252,1257,754,15051
高雄福華大飯店,7970,3896,11866,4000,2500,3104,172,483,106,158,183,402,542,44,172,0,11866
君鴻國際酒店,6705,11963,18668,10121,4089,1529,310,834,297,94,250,355,407,98,284,0,18668
寒軒國際大飯店,5397,8020,13417,6076,4448,1718,212,167,58,111,304,70,183,33,37,0,13417
麗尊大酒店,5009,2582,7591,3666,2139,882,107,378,77,17,0,142,125,36,22,0,7591
福容大飯店 高雄,2238,6476,8714,5154,2805,163,84,213,19,8,91,11,166,0,0,0,8714
