Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,3135,1822,4957,2857,209,1291,79,86,27,21,140,24,207,16,0,0,4957
華園大飯店,1820,3896,5716,2848,1304,953,137,126,20,69,233,6,20,0,0,0,5716
高雄國賓大飯店,7360,7039,14399,7233,3361,2359,553,61,25,19,94,80,439,38,137,0,14399
漢來大飯店,13239,2960,16199,7821,1715,1853,0,0,0,0,548,963,814,294,1369,822,16199
高雄福華大飯店,9738,1759,11497,4571,1038,4127,207,193,159,100,203,229,428,36,206,0,11497
君鴻國際酒店,8430,10874,19304,9503,3615,1128,3027,646,143,79,240,326,387,54,156,0,19304
寒軒國際大飯店,6842,3748,10590,6327,1952,1431,87,244,78,65,154,137,78,31,6,0,10590
麗尊大酒店,6655,2450,9105,4652,1702,808,728,133,54,68,248,252,78,28,354,0,9105
福容大飯店 高雄,3726,2100,5826,4007,817,134,5,32,19,84,609,59,48,12,0,0,5826
