Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,4523,1968,6491,4466,171,1293,73,18,30,14,145,116,161,3,1,0,6491
華園大飯店,1780,5846,7626,2233,2091,1663,845,405,92,36,171,57,24,9,0,0,7626
高雄國賓大飯店,8414,6790,15204,7764,3611,2531,479,126,37,25,117,138,287,8,81,0,15204
漢來大飯店,12978,2934,15912,7736,1695,2106,0,0,0,0,473,876,912,220,1184,710,15912
高雄福華大飯店,8493,2720,11213,3691,1121,5060,329,123,63,124,186,166,209,37,104,0,11213
君鴻國際酒店,7437,7790,15227,8329,2894,1118,1353,340,104,83,163,297,268,43,235,0,15227
寒軒國際大飯店,7101,4245,11346,6531,1876,1608,305,152,72,81,437,129,97,56,2,0,11346
麗尊大酒店,5993,2195,8188,4035,1759,851,403,139,124,53,403,134,86,6,195,0,8188
福容大飯店 高雄,5146,1788,6934,5174,956,147,6,37,129,10,310,50,89,26,0,0,6934
